                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.86339,                 1.2698,                 1.2117,                0.84791,                 0.6305,                 0.7244,                0.47806,                 1.1735,                0.94904,                  1.469,               0.000845,               0.000845,               0.000845
                     37,                0.85274,                 1.2526,                 1.2097,                0.81854,                 0.6358,                0.71989,                0.48305,                 1.1283,                0.96982,                 1.4369,               0.000812,               0.000812,               0.000812
                     38,                0.85489,                 1.2555,                 1.2062,                0.83548,                0.62867,                0.72618,                0.48718,                  1.158,                0.93222,                 1.4456,               0.000779,               0.000779,               0.000779
                     39,                0.84274,                 1.2452,                  1.201,                0.85353,                0.62422,                0.72739,                0.49283,                 1.1222,                0.95068,                 1.4131,               0.000746,               0.000746,               0.000746
                     40,                0.84396,                 1.2434,                 1.1997,                0.86956,                0.62924,                0.73745,                0.49974,                  1.123,                0.90711,                 1.3992,               0.000713,               0.000713,               0.000713
                     41,                0.84537,                 1.2385,                 1.2026,                0.86278,                  0.626,                0.74658,                 0.5085,                 1.1363,                0.89247,                 1.4292,                0.00068,                0.00068,                0.00068
                     42,                0.83839,                 1.2328,                 1.1992,                0.87151,                0.62422,                0.73955,                 0.5101,                 1.1176,                0.88977,                 1.4164,               0.000647,               0.000647,               0.000647
                     43,                0.84489,                 1.2331,                 1.1948,                0.85973,                0.64559,                0.74901,                0.51028,                 1.1075,                0.88111,                  1.401,               0.000614,               0.000614,               0.000614
                     44,                0.83339,                 1.2192,                 1.1943,                0.82329,                0.64307,                0.73747,                0.50234,                 1.1044,                0.90624,                 1.4045,               0.000581,               0.000581,               0.000581
                     45,                0.83141,                 1.2174,                 1.1938,                 0.8718,                0.64025,                0.73887,                0.50999,                 1.0879,                0.85698,                 1.3814,               0.000548,               0.000548,               0.000548
                     46,                0.82623,                  1.205,                 1.1888,                0.87217,                0.62956,                0.73933,                0.50737,                 1.0963,                0.88155,                 1.3966,               0.000515,               0.000515,               0.000515
                     47,                0.82407,                 1.2183,                 1.1888,                0.84341,                0.64114,                0.74703,                0.50988,                 1.1232,                0.86624,                 1.4184,               0.000482,               0.000482,               0.000482
